,Date,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
2081,2018-04-11,88.2159854888916,79.68178067207336,178.6524280581558,66.43224287033081,53.62096757474153,88.16516392158739,117.7184951418922,102.81765896933419,80.10532249942902,86.56201402561085,44.10436012004984
2082,2018-04-12,88.91295471191407,80.221346950531,177.37718513555694,66.24297253290813,53.6545470693837,89.15706094106038,118.70698514060369,104.08550830568586,79.17928791046143,87.57287880536673,43.535854471140894
2083,2018-04-13,88.52875728607178,80.18285961151123,177.27804580487702,66.27864286634657,54.4814103997272,88.32403908353864,118.45362511892168,103.68358748299735,79.60244347972255,87.0896673395827,43.84560604753165
2084,2018-04-16,90.05982866287232,80.94473943710327,178.08149869818436,66.93940369288127,55.221848612246305,88.88881612546515,119.91686257861909,104.99013091496059,79.9492985510057,87.85243466093733,44.46816559495597
2085,2018-04-17,91.5182770729065,83.21528301239013,181.08704408009848,67.32057799233331,55.661677153214164,89.01973312551326,121.53877185639881,105.7225196974618,80.88327887750441,89.57701327349689,44.9296644473898
2086,2018-04-18,92.25001916885375,83.28169918060303,181.66913362134966,67.07503567801581,56.54477326766305,88.90998795538238,122.21951027522012,106.71238667624337,80.82489755076747,89.54607007310197,44.69585645609889
2087,2018-04-19,91.13487167358399,83.08847827911377,180.77506908617522,65.74290646447076,56.67038801442022,89.47497729099157,120.72459454006619,106.49652854374477,79.47940420335338,88.2814161584184,44.66309129780736
2088,2018-04-20,90.59161710739136,81.96330561637879,179.69750083120246,64.53698009914822,56.50290194801662,89.32285110878222,119.95292708987282,105.53669771466936,78.86305307572887,87.58842665440328,44.31089437418971
2089,2018-04-23,90.3926607131958,81.4465754032135,180.070965934218,64.60730335447523,56.84691773290219,89.14529414610429,120.31592671833342,105.36179900850568,78.89718754060807,87.02021832079501,44.39819875256769
2090,2018-04-24,88.41817831993103,79.64191737174988,178.51994487695526,64.3545970386929,56.20683869071629,88.3023667046518,118.61230284070211,102.5259137562343,79.10954850719821,85.67448121148186,44.72479626228069
2091,2018-04-25,89.07457094192505,79.71372361183167,179.70091202384546,64.62477127710979,56.6259358862172,88.1465159185005,119.32913604615227,102.67166463306972,78.89290748103973,85.22298064747372,44.74549306672195
2092,2018-04-26,89.73751826286316,81.0728654384613,183.8466848908809,64.95872746573554,57.4660758557527,88.51081491239142,120.6549136752174,102.13266765049525,79.83216073436122,85.73417925516765,45.26188238735857
